region,latitude,longitude
Amazonas,-6.2336,-77.8704
Ancash,-9.5275,-77.5279
Apurimac,-13.6339,-72.8811
Arequipa,-16.4090,-71.5375
Ayacucho,-13.1588,-74.2232
Cajamarca,-7.1662,-78.5126
Callao,-12.0565,-77.1181
Cusco,-13.5226,-71.9673
Huancavelica,-12.7869,-74.9731
Huánuco,-9.9306,-76.2422
Ica,-14.0755,-75.7321
Junín,-12.0651,-75.2049
La Libertad,-8.1159,-79.0299
Lambayeque,-6.7711,-79.8424
Lima,-12.0464,-77.0428
Loreto,-3.7491,-73.2538
Madre de Dios,-12.5933,-70.0937
Moquegua,-17.1983,-70.9356
Pasco,-10.6674,-76.2566
Piura,-5.1944,-80.6328
Puno,-15.8422,-70.0199
San Martín,-6.0345,-76.9713
Tacna,-18.0147,-70.2536
Tumbes,-3.5669,-80.4515
Ucayali,-8.3689,-74.5326
